stock_id,stock_name,year,type
2013,中鋼構,2020,normal
2014,中鴻,2020,normal
2015,豐興,2020,normal
2017,官田鋼,2020,normal
2020,美亞,2020,normal
2022,聚亨,2020,normal
2023,燁輝,2020,normal
2024,志聯,2020,normal
2025,千興,2020,normal
2027,大成鋼,2020,normal
2028,威致,2020,normal
2029,盛餘,2020,normal
2030,彰源,2020,normal
2031,新光鋼,2020,normal
2032,新鋼,2020,normal
2033,佳大,2020,normal
2034,允強,2020,normal
2035,唐榮公司,2020,normal
2038,海光,2020,normal
2049,上銀,2020,normal
2059,川湖,2020,normal
2061,風青,2020,normal
2062,橋椿,2020,normal
2063,世鎧,2020,normal
2064,晉椿,2020,normal
2065,世豐,2020,normal
2066,世德,2020,normal
2067,嘉鋼,2020,normal
2069,運錩,2020,normal
2070,精湛,2020,normal
2101,南港,2020,normal
2102,泰豐,2020,normal
2103,台橡,2020,normal
2104,國際中橡,2020,normal
2105,正新,2020,normal
2106,建大,2020,normal
2107,厚生,2020,normal
2108,南帝,2020,normal
2109,華豐,2020,normal
2114,鑫永銓,2020,normal
2115,六暉-KY,2020,normal
2201,裕隆,2020,normal
2204,中華,2020,normal
2206,三陽工業,2020,normal
2207,和泰車,2020,normal
2208,台船,2020,normal
2211,長榮鋼,2020,normal
2221,大甲,2020,normal
2227,裕日車,2020,normal
2228,劍麟,2020,normal
2230,泰茂,2020,normal
2231,為升,2020,normal
2233,宇隆,2020,normal
2235,謚源,2020,normal
2236,百達-KY,2020,normal
2239,英利-KY,2020,normal
2241,艾姆勒,2020,normal
2243,宏旭-KY,2020,normal
2247,汎德永業,2020,normal
2250,IKKA-KY,2020,normal
2301,光寶科,2020,normal
2302,麗正,2020,normal
2303,聯電,2020,normal
2305,全友,2020,normal
2308,台達電,2020,normal
2312,金寶,2020,normal
2313,華通,2020,normal
2314,台揚,2020,normal
2316,楠梓電,2020,normal
2317,鴻海,2020,normal
2321,東訊,2020,normal
2323,中環,2020,normal
2324,仁寶,2020,normal
2327,國巨,2020,normal
2328,廣宇,2020,normal
2329,華泰,2020,normal
2330,台積電,2020,normal
2331,精英,2020,normal
2332,友訊,2020,normal
2337,旺宏,2020,normal
2338,光罩,2020,normal
2340,光磊,2020,normal
2342,茂矽,2020,normal
2344,華邦電,2020,normal
2345,智邦,2020,normal
2347,聯強,2020,normal
2348,海悅,2020,normal
2349,錸德,2020,normal
2351,順德,2020,normal
2352,佳世達,2020,normal
2353,宏碁,2020,normal
2354,鴻準,2020,normal
2355,敬鵬,2020,normal
2356,英業達,2020,normal
2357,華碩,2020,normal
2358,廷鑫,2020,normal
2359,所羅門,2020,normal
2360,致茂,2020,normal
2362,藍天,2020,normal
2363,矽統,2020,normal
2364,倫飛,2020,normal
2365,昆盈,2020,normal
2367,燿華,2020,normal
2368,金像電,2020,normal
2369,菱生,2020,normal
2371,大同,2020,normal
2373,震旦行,2020,normal
2374,佳能,2020,normal
2375,凱美,2020,normal
2376,技嘉,2020,normal
2377,微星,2020,normal
2379,瑞昱,2020,normal
2380,虹光,2020,normal
2382,廣達,2020,normal
2383,台光電,2020,normal
2385,群光,2020,normal
2387,精元,2020,normal
2388,威盛,2020,normal
2390,云辰,2020,normal
2392,正崴,2020,normal
2393,億光,2020,normal
2395,研華,2020,normal
2397,友通,2020,normal
2399,映泰,2020,normal
2401,凌陽,2020,normal
2402,毅嘉,2020,normal
2404,漢唐,2020,normal
2405,浩鑫,2020,normal
2406,國碩,2020,normal
2408,南亞科,2020,normal
2409,友達,2020,normal
2412,中華電,2020,normal
2413,環科,2020,normal
2414,精技,2020,normal
2415,錩新,2020,normal
2417,圓剛,2020,normal
2419,仲琦,2020,normal
2420,新巨,2020,normal
2421,建準,2020,normal
2423,固緯,2020,normal
2424,隴華,2020,normal
2425,承啟,2020,normal
2426,鼎元,2020,normal
2427,三商電,2020,normal
2428,興勤,2020,normal
2429,銘旺科,2020,normal
2430,燦坤,2020,normal
2431,聯昌,2020,normal
2433,互盛電,2020,normal
2434,統懋,2020,normal
2436,偉詮電,2020,normal
2438,翔耀,2020,normal
2439,美律,2020,normal
2440,太空梭,2020,normal
2441,超豐,2020,normal
2442,新美齊,2020,normal
2443,億麗,2020,normal
2444,兆勁,2020,normal
2449,京元電子,2020,normal
2450,神腦,2020,normal
2451,創見,2020,normal
2453,凌群,2020,normal
2454,聯發科,2020,normal
2455,全新,2020,normal
2456,奇力新,2020,normal
2457,飛宏,2020,normal
2458,義隆,2020,normal
2459,敦吉,2020,normal
2460,建通,2020,normal
2461,光群雷,2020,normal
2462,良得電,2020,normal
2464,盟立,2020,normal
2465,麗臺,2020,normal
2466,冠西電,2020,normal
2467,志聖,2020,normal
2468,華經,2020,normal
2471,資通,2020,normal
2472,立隆電,2020,normal
2474,可成,2020,normal
2476,鉅祥,2020,normal
2477,美隆電,2020,normal
2478,大毅,2020,normal
2480,敦陽科,2020,normal
2481,強茂,2020,normal
2482,連宇,2020,normal
2483,百容,2020,normal
2484,希華,2020,normal
2485,兆赫,2020,normal
2486,一詮,2020,normal
2488,漢平,2020,normal
2489,瑞軒,2020,normal
2491,吉祥全,2020,normal
2492,華新科,2020,normal
2493,揚博,2020,normal
2495,普安,2020,normal
2496,卓越,2020,normal
2497,怡利電,2020,normal
2498,宏達電,2020,normal
2501,國建,2020,normal
2504,國產,2020,normal
2505,國揚,2020,normal
2506,太設,2020,normal
2509,全坤建,2020,normal
2511,太子,2020,normal
2514,龍邦,2020,normal
2515,中工,2020,normal
2516,新建,2020,normal
2520,冠德,2020,normal
2524,京城,2020,normal
2527,宏璟,2020,normal
2528,皇普,2020,normal
2530,華建,2020,normal
2534,宏盛,2020,normal
2535,達欣工,2020,normal
2536,宏普,2020,normal
2537,聯上發,2020,normal
2538,基泰,2020,normal
2539,櫻花建,2020,normal
2540,愛山林,2020,normal
2542,興富發,2020,normal
2543,皇昌,2020,normal
2545,皇翔,2020,normal
2546,根基,2020,normal
2547,日勝生,2020,normal
2548,華固,2020,normal
2596,綠意,2020,normal
2597,潤弘,2020,normal
2601,益航,2020,normal
2603,長榮,2020,normal
2605,新興,2020,normal
2606,裕民,2020,normal
2607,榮運,2020,normal
2608,嘉里大榮,2020,normal
2609,陽明,2020,normal
2610,華航,2020,normal
2611,志信,2020,normal
2612,中航,2020,normal
2613,中櫃,2020,normal
2614,東森,2020,normal
2615,萬海,2020,normal
2616,山隆,2020,normal
2617,台航,2020,normal
2618,長榮航,2020,normal
2630,亞航,2020,normal
2633,台灣高鐵,2020,normal
2634,漢翔,2020,normal
2636,台驊投控,2020,normal
2637,慧洋-KY,2020,normal
2640,大車隊,2020,normal
2641,正德,2020,normal
2642,宅配通,2020,normal
2643,捷迅,2020,normal
2701,萬企,2020,normal
2702,華園,2020,normal
2704,國賓,2020,normal
2705,六福,2020,normal
2706,第一店,2020,normal
2707,晶華,2020,normal
2712,遠雄來,2020,normal
2718,晶悅,2020,normal
2719,燦星旅,2020,normal
2722,夏都,2020,normal
2723,美食-KY,2020,normal
2724,富驛-KY,2020,normal
2726,雅茗-KY,2020,normal
2727,王品,2020,normal
2729,瓦城,2020,normal
2731,雄獅,2020,normal
2732,六角,2020,normal
2734,易飛網,2020,normal
2736,高野,2020,normal
2739,寒舍,2020,normal
2740,天蔥,2020,normal
2743,山富,2020,normal
2745,五福,2020,normal
2748,雲品,2020,normal
2752,豆府,2020,normal
2754,亞洲藏壽司,2020,normal
2755,揚秦,2020,normal
2801,彰銀,2020,bank
2809,京城銀,2020,bank
2812,台中銀,2020,bank
2816,旺旺保,2020,insurance
2820,華票,2020,bank
2823,中壽,2020,insurance
2832,台產,2020,insurance
2834,臺企銀,2020,bank
2836,高雄銀,2020,bank
2838,聯邦銀,2020,bank
